material_number|material_name|material_group
2013729-MV|VCD-43-47.875x33.875|60CA
2014208-MV|SD58S01F08-54X24-RHN|41AA
2000315-MV|40-APH-4-95-II-250|50CB
2013970-MV|VCD-43-44.938x6.875|60CA
1016510|COMP,ZPDU42MCE-TE5-273,208/230V|9XA
2000581-MV|HW58S02F10-45X63-RH|41AA
MP12575|CYL|NP139
1016748|NUT,HEX,.5-13,GR8,YZP|9XA
100-D-1350|HEAT EXCH,100-D-1350|40AB
100-D-1800|HEAT EXCH,100-D-1800|40AB
352159|BSHG,QD-SF X 1.875|9XA
483077|CNTRL,BRD,PCBA-Choke,EMERSON,037-0042-01|9XA
2010603-MV|20-APM-4-100-II-75|50BG
2016009-MV|ICD-45-21.875x8.875|60BG
2014199-MV|VCD-43-81.875x48.875|60CA
2014206-MV|27-APM-4-100-II-200|50BG
352172|BSHG,QD-E X 2.437|9XA
352343|BSHG,SDS X 1.125|9XA
352366|BSHG,SK X 1.125|9XA
352367|BSHG,SK X 1.375|9XA
2000844-MV|HW58S02H10-45X129-LHE|41AA
2014074-MV|VCD-43-25.75x34.75|60CA
2014070-MV|VCD-43-62.875x77.875|60CA
2014126-MV|24-APH-4-80-II-150|50CB
2014102-MV|24-APH-4-95-II-150|50CB
2014094-MV|24-APH-4-95-II-150|50CB
2014087-MV|VCD-43-13.875x119.875|60CA
2014065-MV|VCD-43-25.75x34.75|60CA
2013834-MV|VCD-23-108.875x39.875|60CA
2013782-MV|VCD-23-43.875x60.063|60CA
2013769-MV|VCD-23-41.875x24|60CA
2000513-MV|DX12C06S10-40X80-RH|41AA
352394|BSHG,QT X 1.125|9XA
2011796-MV|CW58S08S10-54X50-RHE|41AA
2011798-MV|HW58S04D12-45X66-LHN|41AA
2011754-MV|EM-30-33.02X33.02|60BA
2011743-MV|20-APM-4-100-II-20|50BG
2011742-MV|AMD-42-17.75x53.75|60CA
2013886-MV|30-APH-4-90-I-100|50CB
2004300-MV|FBV-23-49.875x77.876|60CA
2000646-MV|33-APH-4-100-II-300|50CB
2000580-MV|VCD-23-60.875x54.125|60CA
2000575-MV|VCD-33-38.875x11.875|60CA
2000337-MV|XUEF-422-10-BI-II-150-G|50BA
2000336-MV|XUEF-415-10-BI-II-50-G|50BA
2014083-MV|VCD-43-25.75x34.75|60CA
2013711-MV|XQEI-12-300-50-G|50GA
2016174-MV|VCD-43-29.875x16.875|60CB
2014123-MV|VCD-43-13.875x119.875|60CA
T2295|PUNCH,ROUND,.125|NP139
2002506-MV|24-APM-4-100-II-100|50BG
2004952-MV|EM-10-81.875X13.875|60BA
2004953-MV|VCD-23-81.875x9.875|60CA
2004954-MV|VCD-23-17.875x39.875|60CA
2004957-MV|20-APM-4-85-II-100|50BG
2004959-MV|VCD-23-97.875x26.875|60CA
2004960-MV|AMD-23-17.75x49.75|60CA
MP18497|FLUID,DIP,TUBE,BINKS10GALTANK|NP139
2011737-MV|AMD-42-10.75x53.75|60CA
2011739-MV|VCD-23-12.75x53.75|60CA
2001417-MV|VCD-43-68.875x121.875|60CA
2011755-MV|ICD-45-53.875x29.875|60BG
352983|BSHG,SDS X 1.875|9XA
1016565|CL_CNDR_26X12L0638S14-01N|9XA
1016577|ENCL,FLAT,SAGINAW,60X68X.88,SCE-72P72F1|9XA
2000591-MV|HW12C02Q14-50X19-RH|41AA
2000592-MV|CW58S06S12-27X29-RH|41AA
1016721|LGT,FIX,INCA,150W,CEIL MNT,7.6,CLR,.5HUB|9XA
2015025-MV|VCD-23-66.875x23.875|60CA
310676|MTR,143T,BA,ECP3581T|9XA
1001329|WSHR,REDUCING 2X1|9XA
MP23897|SHOCK,12MM STROKE|NP139
2013861-MV|VCD-43-104.75x32.75|60CA
1016747|BOLT,HH,.5-13X3.5,GR8,YZP|9XA
2000595-MV|HW12C02S14-38.75X19-RH|41AA
2001230-MV|CW58S08S08-51X116-RH|41AA
2000590-MV|CW58S06S12-40.5X39-RH|41AA
2000593-MV|HW12C02Q14-25X18-RH|41AA
2000594-MV|CW58S06H12-30X39-RH|41AA
2014297-MV|24-APH-4-85-II-150|50CB
2014278-MV|VCD-23-10.75x80.75|60CA
2002541-MV|22-APM-4-100-II-100|50BG
1016642|COVER,WTHPRF,1G INUSE,VERT,CLEAR|9XA
2000653-MV|ICD-44-24.66x55.875|60BG
1016578|CREATED IN ERROR - CAN BE REUSED|9XA
2014004-MV|AMD-42-20.75x54.75|60CA
1016632|CONFIG,GENERIC9|9XA
2000570-MV|EM-30-31.625X83.625|60BA
2000571-MV|VCD-23-48.875x22.813|60CA
387690|CNTRL,CPCO,LARGE,NO DISP,P+50NSJB000L0|9XA
1106748|CREATED IN ERROR - CAN BE REUSED|9XA
MP18010|COVER,HANDLE,VALVE,RED|NP139
352332|BSHG,SD X 1.187|9XA
2014277-MV|EM-30-29.15X29.15|60BA
410727|HUB,AL,PIN,CRS,MACH,.6875-13 UNC,ASSY|9XA
1008346|REACTOR,LINE,0.5MH,25A,OPEN,RL-02501|9XA
1008348|REACTOR,LINE,0.4MH,35A,OPEN,RL-03501|9XA
1008349|REACTOR,LINE,0.3MH,45A,OPEN,RL-04501|9XA
1008352|REACTOR,LINE,0.25MH,55A,OPEN,RL-05501|9XA
1008356|REACTOR,LINE,0.4MH,80A,OPEN,RL-08002|9XA
1008358|REACTOR,LINE,0.15MH,100A,OPEN,RL-10001|9XA
1008359|REACTOR,LINE,0.3MH,100A,OPEN,RL-10002|9XA
2000617-MV|VCD-23-88.625x57.875|60CA
2000538-MV|VCD-23-39.875x24.875|60CA
2000543-MV|DX38S08S10-34X64-LH|41AA
2000572-MV|VCD-23-48.875x60.063|60CA
2013887-MV|VCD-23-28.875x59.875|60CA
1036573|BRKT,UNIV,STANDARD,6B|9XA
1040035|MTR,215T,BA GNEM3313T|9XA
2000541-MV|DX38S04S12-36X18-RH|41AA
2011025-MV|EM-30-19.625X36.625|60BA
2011015-MV|XUEF-24-5-B1-00-01-01|50BD
2000651-MV|30-APH-4-95-III-250|50CA
2015001-MV|VCD-23-26.875x6.438|60CA
2014298-MV|VCD-43-131.875x25.875|60CA
2014194-MV|VCD-43-38.125x49.875|60CA
2013872-MV|SMD-401-70.75X44.75|60DA
2013873-MV|SMD-401-56.75X55.75|60DA
2016160-MV|XUEF-13-5-B1-00-01-01|50BD
1006950|VLV,BALL,1.25,B329,ARX24|9XA
1006921|OVERLOAD,80A,104A,CL10,1PH,SQD-LRD3365|9XA
1009032|VFD,131H9100,460V,0|9XA
1009033|VFD,131H9086,460V,0|9XA
2015221-MV|AMD-23-15.5x38.75|60CA
1036379|SMP, FAN LOC2 APD PART15|9XA
2013980-MV|VCD-43-137.875x39.875|60CA
1000574|CPLG,RDUCR,CXC,0.625ODX0.375OD,CPR|9XA
1007746|CPLG,RDUCR,FTGXC,0.5ODX0.375OD,CPR|9XA
MP12422|CLEVIS,ROD,CLAMP|NP139
1032354|SMP, BASE B DRAINPAN7 PART6|9XA
1032497|SMP, BASE E DRAINPAN7 PART5|9XA
1032595|SMP, BASE G DRAINPAN8 PART4|9XA
1032600|SMP, BASE G DRAINPAN9 PART6|9XA
1032555|SMP, BASE F DRAINPAN10 PART6|9XA
1032567|SMP, BASE F DRAINPAN14 PART6|9XA
1032666|SMP, BASE H DRAINPAN15 PART6|9XA
2010913-MV|XUEF-20-5-B1-00-01-01|50BD
2010899-MV|VCD-33-11.75x15.75|60CA
2010906-MV|18-APM-4-90-II-75|50BG
1016749|BOLT,HH,TAP,0.25-20X4,SS,18-8|9XA
1016750|BOLT,HH,0.25-20X1.75,SS,18-8|9XA
483073|CNTRL,BRD,PCBA-VFD,EMERSON,EV2080M-K9-29|9XA
2014136-MV|24-APH-4-95-II-200|50CB
2014137-MV|24-APH-4-95-II-200|50CB
2014129-MV|HW12C02S10-52.5X80.5-LHN|41AA
2013874-MV|VCD-43-23.875x20.875|60CA
2013875-MV|ESD-202|61BA
2013876-MV|VCD-43-23.75x19.75|60CA
2011026-MV|VCD-23-37.75x14.75|60CA
2014807-MV|VCD-43-33.875x51.875|60CA
483070|CNTRL,BRD,PCBA-VFD,EMERSON,EV2055M-J9-29|9XA
1016546|VLV,BALL,1.25,B229S3,NFRX24-S,NO/FO|9XA
483072|CNTRL,BRD,PCBA-VFD,EMERSON,EV2055M-K9-29|9XA
483081|CNTRL,BRD,PCBA-CAP,EMERSON,143-0020-03|9XA
100250|SHT,.080X60X144,AL,5052-H32|9XA
2013914-MV|24-APH-4-100-II-100|50CB
2013974-MV|VCD-43-59.875x63.875|60CA
2016001-MV|15-APM-4-70-II-50|50BG
2016004-MV|VCD-43-31.875x17.813|60CB
2016005-MV|VCD-43-27.375x11.938|60CB
MP15081|NUT,BALL,TR25X5|NP139
MP15096|COUPLING|NP139
MP15177|BELT,COGGED|NP139
2000516-MV|DX38S04S12-52X50-RH|41AA
2014178-MV|VCD-43-82.688x47.875|60CA
2014114-MV|VCD-43-13.875x119.875|60CA
2000346-MV|DX12C04S13-27.5X36-RH|41AA
2014012-MV|VCD-43-9.875x27.5|60CA
483065|COMP,EMERSON,ZPV0212E-2E9-130|9XA
2011630-MV|VCD-33-41.375x39.875|60CA
2011628-MV|VCD-33-51.875x38.875|60CA
2011632-MV|ICD-45-71.875x26.875|60BG
2011638-MV|30-APH-4-100-III-250|50CB
2000363-MV|HW58S02F09-46.5X66-RHE|41AA
2000567-MV|EM-30-41.625X29.625|60BA
2000562-MV|DX12C06S10-40X80-RH|41AA
2010818-MV|VCD-23-54.875x29.875|60CA
1032369|SMP, BASE B DRAINPAN12 PART6|9XA
2011107-MV|VCD-43-106.75x9.75|60CA
387687|CNTRL,CPCO,LARGE,DISP,P+50NSKB00EL0|9XA
2000519-MV|DX12C04S14-60X52.5-RH|41AA
2014036-MV|VCD-43-19.875x40.875|60CA
2000542-MV|DX38S04S12-36X18-RH|41AA
2000355-MV|CW58S04Q10-27X29-RH|41AA
2014013-MV|VCD-23-17.625x37.875|60CA
2014011-MV|VCD-23-17.625x37.875|60CA
2011126-MV|XQEI-15-300-75-G|50GA
2000563-MV|VCD-43-73.875x69.875|60CA
475465|ACT,ELEC,BELIMO,EFB24-SR-S|60XA
2000574-MV|VCD-33-40.875x11.875|60CA
472999|FL,LQD LINE,BI FLOW,BFKZ-307S,7/8 ODF|9XA
2014127-MV|EM-30-32.3X32.3|60BA
2014088-MV|VCD-43-62.875x77.875|60CA
2014079-MV|VCD-43-62.875x77.875|60CA
2014046-MV|VCD-43-25.75x34.75|60CA
2014089-MV|24-APH-4-80-II-150|50CB
2014042-MV|VCD-23-70.875x47.875|60CA
